Column1;Column2;Column3;Column4
4,39E+09;-182,51;4,39;989,5636557
4,39E+09;-182,88;4,39;985,9852839
4,39E+09;-183,25;4,39;992,244735
4,39E+09;-183,62;4,39;995,7418079
4,39E+09;-183,99;4,39;975,6509814
4,39E+09;-184,36;4,39;1016,859341
4,39E+09;-184,74;4,39;964,0274349
4,39E+09;-185,10;4,39;1014,902701
4,39E+09;-185,48;4,39;985,1267408
4,39E+09;-185,85;4,39;982,6487873
4,39E+09;-186,22;4,39;1007,501107
4,39E+09;-186,59;4,39;1022,928814
4,39E+09;-186,98;4,39;968,6309446
4,39E+09;-187,34;4,39;985,1988094
4,40E+09;-187,71;4,40;1000,498155
4,40E+09;-188,09;4,40;988,5136006
4,40E+09;-188,46;4,40;985,8446599
4,40E+09;-188,83;4,40;1000,478477
4,40E+09;-189,20;4,40;973,3759201
4,40E+09;-189,57;4,40;1000,1786
4,40E+09;-189,94;4,40;983,2228334
4,40E+09;-190,31;4,40;1018,932176
4,40E+09;-190,69;4,40;965,5120703
4,40E+09;-191,05;4,40;998,8356927
4,40E+09;-191,43;4,40;983,35433
4,40E+09;-191,80;4,40;1015,103663
4,40E+09;-192,18;4,40;986,6496755
4,40E+09;-192,55;4,40;977,6214988
4,40E+09;-192,91;4,40;1014,958072
4,40E+09;-193,29;4,40;971,5216819
4,40E+09;-193,66;4,40;967,254348
4,40E+09;-194,02;4,40;1001,070253
4,40E+09;-194,40;4,40;1007,447945
4,40E+09;-194,77;4,40;984,4930879
4,40E+09;-195,14;4,40;977,4087746
4,40E+09;-195,51;4,40;995,3732588
4,40E+09;-195,88;4,40;978,7214801
4,40E+09;-196,25;4,40;999,3523487
4,40E+09;-196,62;4,40;980,7850677
4,40E+09;-196,99;4,40;980,0056947
4,40E+09;-197,36;4,40;1015,476251
4,41E+09;-197,74;4,41;965,6224035
4,41E+09;-198,10;4,41;990,9725703
4,41E+09;-198,47;4,41;987,0021883
4,41E+09;-198,84;4,41;962,4357585
4,41E+09;-199,20;4,41;1031,147968
4,41E+09;-199,59;4,41;940,5260237
4,41E+09;-199,94;4,41;991,1445835
4,41E+09;-200,31;4,41;978,6016996
4,41E+09;-200,68;4,41;989,4278718
4,41E+09;-201,05;4,41;958,997254
4,41E+09;-201,41;4,41;970,8716055
4,41E+09;-201,77;4,41;991,6124078
4,41E+09;-202,15;4,41;974,9924287
4,41E+09;-202,51;4,41;994,9589781
4,41E+09;-202,88;4,41;985,1625323
4,41E+09;-203,25;4,41;965,6994893
4,41E+09;-203,62;4,41;970,2725973
4,41E+09;-203,98;4,41;976,7675847
4,41E+09;-204,35;4,41;986,12627
4,41E+09;-204,71;4,41;975,5703465
4,41E+09;-205,08;4,41;988,0179351
4,41E+09;-205,45;4,41;954,8514504
